BUYER_STATE,BUYER_COUNTY,MONTH,MME
AR,COLUMBIA,7,3314.6500000000233
AR,COLUMBIA,8,3183.810000000025
AR,COLUMBIA,9,3766.5300000000316
AR,COLUMBIA,10,3771.1700000000337
AR,COLUMBIA,11,3454.120000000031
AR,COLUMBIA,12,3926.5100000000407
AR,CONWAY,1,3851.970000000041
AR,CONWAY,2,3601.9700000000366
AR,CONWAY,3,4163.45000000004
AR,CONWAY,4,4057.890000000053
AR,CONWAY,5,4454.960000000035
AR,CONWAY,6,4172.960000000052
AR,CONWAY,7,4889.380000000026
AR,CONWAY,8,4322.970000000041
AR,CONWAY,9,4180.050000000048
AR,CONWAY,10,4786.590000000033
AR,CONWAY,11,4540.020000000036
AR,CONWAY,12,4576.750000000038
AR,CRAIGHEAD,1,18640.28000000061
AR,CRAIGHEAD,2,17327.08000000074
AR,CRAIGHEAD,3,19082.310000000627
AR,CRAIGHEAD,4,18516.170000000733
AR,CRAIGHEAD,5,19237.550000000596
AR,CRAIGHEAD,6,19357.770000000524
AR,CRAIGHEAD,7,19323.21000000056
AR,CRAIGHEAD,8,19903.27000000048
AR,CRAIGHEAD,9,20245.180000000404
AR,CRAIGHEAD,10,19570.250000000455
AR,CRAIGHEAD,11,18943.190000000704
AR,CRAIGHEAD,12,20173.760000000384
AR,CRAWFORD,1,19526.150000000256
AR,CRAWFORD,2,19256.24000000025
AR,CRAWFORD,3,23320.060000000038
AR,CRAWFORD,4,19523.740000000165
AR,CRAWFORD,5,22710.67999999995
AR,CRAWFORD,6,21720.790000000106
AR,CRAWFORD,7,22074.34000000013
AR,CRAWFORD,8,22825.369999999977
AR,CRAWFORD,9,23364.25999999989
AR,CRAWFORD,10,22294.280000000083
AR,CRAWFORD,11,22852.900000000005
AR,CRAWFORD,12,23495.559999999994
AR,CRITTENDEN,1,6766.580000000008
AR,CRITTENDEN,2,6723.079999999992
AR,CRITTENDEN,3,7572.089999999978
AR,CRITTENDEN,4,7599.389999999968
AR,CRITTENDEN,5,8124.979999999955
AR,CRITTENDEN,6,7848.2199999999875
AR,CRITTENDEN,7,7747.929999999982
AR,CRITTENDEN,8,7575.189999999984
AR,CRITTENDEN,9,7172.709999999993
AR,CRITTENDEN,10,7412.669999999958
AR,CRITTENDEN,11,6863.039999999994
AR,CRITTENDEN,12,7797.20999999999
AR,CROSS,1,2072.5699999999947
AR,CROSS,2,2025.7199999999941
AR,CROSS,3,2191.959999999998
AR,CROSS,4,2379.160000000005
AR,CROSS,5,2144.6599999999976
AR,CROSS,6,2300.0300000000047
AR,CROSS,7,2220.360000000001
AR,CROSS,8,2300.469999999999
AR,CROSS,9,2322.8299999999995
AR,CROSS,10,2979.29000000001
AR,CROSS,11,2389.2
AR,CROSS,12,2268.56
AR,DALLAS,1,882.9600000000006
AR,DALLAS,2,810.610000000001
AR,DALLAS,3,985.8600000000021
AR,DALLAS,4,953.0900000000021
AR,DALLAS,5,989.8100000000037
AR,DALLAS,6,1073.9000000000005
AR,DALLAS,7,988.6600000000033
AR,DALLAS,8,1017.8900000000034
AR,DALLAS,9,1219.140000000001
AR,DALLAS,10,970.6000000000026
AR,DALLAS,11,1070.5100000000011
AR,DALLAS,12,1136.0700000000027
AR,DESHA,1,1727.0999999999917
AR,DESHA,2,1665.1099999999938
AR,DESHA,3,1849.3799999999933
AR,DESHA,4,1832.4399999999953
AR,DESHA,5,1933.8999999999933
AR,DESHA,6,1939.66999999999
AR,DESHA,7,2061.8499999999917
AR,DESHA,8,2121.7199999999953
AR,DESHA,9,1814.3699999999924
AR,DESHA,10,1886.839999999992
AR,DESHA,11,1984.3499999999892
