BUYER_STATE,BUYER_COUNTY,YEAR/MONTH,FULL_STATES,MME/CAP,checker,final_checker,PolicyState,Post
FL,DE SOTO,2009,Florida,0.2841,7.0,7,True,False
FL,DE SOTO,2010,Florida,0.3754,7.0,7,True,True
FL,DE SOTO,2011,Florida,0.5246,7.0,7,True,True
FL,DE SOTO,2012,Florida,0.477,7.0,7,True,True
FL,DIXIE,2006,Florida,0.1858,7.0,7,True,False
FL,DIXIE,2007,Florida,0.1927,7.0,7,True,False
FL,DIXIE,2008,Florida,0.2003,7.0,7,True,False
FL,DIXIE,2009,Florida,0.1753,7.0,7,True,False
FL,DIXIE,2010,Florida,0.1618,7.0,7,True,True
FL,DIXIE,2011,Florida,0.156,7.0,7,True,True
FL,DIXIE,2012,Florida,0.2059,7.0,7,True,True
FL,DUVAL,2006,Florida,0.3485,7.0,7,True,False
FL,DUVAL,2007,Florida,0.4053,7.0,7,True,False
FL,DUVAL,2008,Florida,0.4779,7.0,7,True,False
FL,DUVAL,2009,Florida,0.6215,7.0,7,True,False
FL,DUVAL,2010,Florida,0.8851,7.0,7,True,True
FL,DUVAL,2011,Florida,0.7555,7.0,7,True,True
FL,DUVAL,2012,Florida,0.631,7.0,7,True,True
FL,ESCAMBIA,2006,Florida,0.3202,7.0,7,True,False
FL,ESCAMBIA,2007,Florida,0.3828,7.0,7,True,False
FL,ESCAMBIA,2008,Florida,0.3912,7.0,7,True,False
FL,ESCAMBIA,2009,Florida,0.4302,7.0,7,True,False
FL,ESCAMBIA,2010,Florida,0.5265,7.0,7,True,True
FL,ESCAMBIA,2011,Florida,0.4887,7.0,7,True,True
FL,ESCAMBIA,2012,Florida,0.4252,7.0,7,True,True
FL,FLAGLER,2006,Florida,0.2492,7.0,7,True,False
FL,FLAGLER,2007,Florida,0.2686,7.0,7,True,False
FL,FLAGLER,2008,Florida,0.3285,7.0,7,True,False
FL,FLAGLER,2009,Florida,0.4762,7.0,7,True,False
FL,FLAGLER,2010,Florida,0.5721,7.0,7,True,True
FL,FLAGLER,2011,Florida,0.6002,7.0,7,True,True
FL,FLAGLER,2012,Florida,0.5512,7.0,7,True,True
FL,FRANKLIN,2006,Florida,0.1923,7.0,7,True,False
FL,FRANKLIN,2007,Florida,0.1827,7.0,7,True,False
FL,FRANKLIN,2008,Florida,0.1875,7.0,7,True,False
FL,FRANKLIN,2009,Florida,0.1698,7.0,7,True,False
FL,FRANKLIN,2010,Florida,0.237,7.0,7,True,True
FL,FRANKLIN,2011,Florida,0.2349,7.0,7,True,True
FL,FRANKLIN,2012,Florida,0.2361,7.0,7,True,True
FL,GADSDEN,2006,Florida,0.133,7.0,7,True,False
FL,GADSDEN,2007,Florida,0.1556,7.0,7,True,False
FL,GADSDEN,2008,Florida,0.1452,7.0,7,True,False
FL,GADSDEN,2009,Florida,0.1549,7.0,7,True,False
FL,GADSDEN,2010,Florida,0.1807,7.0,7,True,True
FL,GADSDEN,2011,Florida,0.2122,7.0,7,True,True
FL,GADSDEN,2012,Florida,0.1862,7.0,7,True,True
FL,GILCHRIST,2006,Florida,0.2486,7.0,7,True,False
FL,GILCHRIST,2007,Florida,0.2526,7.0,7,True,False
FL,GILCHRIST,2008,Florida,0.295,7.0,7,True,False
FL,GILCHRIST,2009,Florida,0.3635,7.0,7,True,False
FL,GILCHRIST,2010,Florida,0.3401,7.0,7,True,True
FL,GILCHRIST,2011,Florida,0.3359,7.0,7,True,True
FL,GILCHRIST,2012,Florida,0.3237,7.0,7,True,True
FL,GULF,2006,Florida,0.2235,7.0,7,True,False
FL,GULF,2007,Florida,0.2398,7.0,7,True,False
FL,GULF,2008,Florida,0.2255,7.0,7,True,False
FL,GULF,2009,Florida,0.2193,7.0,7,True,False
FL,GULF,2010,Florida,0.2718,7.0,7,True,True
FL,GULF,2011,Florida,0.2453,7.0,7,True,True
FL,GULF,2012,Florida,0.2544,7.0,7,True,True
FL,HAMILTON,2006,Florida,0.1251,7.0,7,True,False
FL,HAMILTON,2007,Florida,0.1542,7.0,7,True,False
FL,HAMILTON,2008,Florida,0.2056,7.0,7,True,False
FL,HAMILTON,2009,Florida,0.1544,7.0,7,True,False
FL,HAMILTON,2010,Florida,0.2345,7.0,7,True,True
FL,HAMILTON,2011,Florida,0.2079,7.0,7,True,True
FL,HAMILTON,2012,Florida,0.1732,7.0,7,True,True
FL,HARDEE,2006,Florida,0.1361,7.0,7,True,False
FL,HARDEE,2007,Florida,0.1454,7.0,7,True,False
FL,HARDEE,2008,Florida,0.1684,7.0,7,True,False
FL,HARDEE,2009,Florida,0.2802,7.0,7,True,False
FL,HARDEE,2010,Florida,0.3198,7.0,7,True,True
FL,HARDEE,2011,Florida,0.3353,7.0,7,True,True
FL,HARDEE,2012,Florida,0.2894,7.0,7,True,True
FL,HENDRY,2006,Florida,0.4262,7.0,7,True,False
FL,HENDRY,2007,Florida,0.492,7.0,7,True,False
FL,HENDRY,2008,Florida,0.536,7.0,7,True,False
FL,HENDRY,2009,Florida,0.5761,7.0,7,True,False
